# Pre-cutoff PDBs (released on or before 2021-09-30)
# Total PDBs: 936
CCD	PDB	Released_Date	Category
0C   	1R3O	2003-12-23	pre-cutoff
0C   	2G32	2006-05-30	pre-cutoff
0C   	2GPM	2006-06-27	pre-cutoff
0C   	2GQ4	2006-06-27	pre-cutoff
0C   	2GQ5	2006-06-27	pre-cutoff
0C   	2GQ6	2006-06-27	pre-cutoff
0C   	2GQ7	2006-06-27	pre-cutoff
0C   	6ZPF	2021-05-26	pre-cutoff
0C   	6ZQ9	2021-05-26	pre-cutoff
0C   	6ZR1	2021-05-26	pre-cutoff
0C   	6ZRL	2021-05-26	pre-cutoff
0C   	6ZRS	2021-05-26	pre-cutoff
0C   	6ZW3	2021-05-26	pre-cutoff
0C   	6ZWU	2021-05-26	pre-cutoff
0C   	6ZX5	2021-05-26	pre-cutoff
0C   	6ZX8	2021-05-26	pre-cutoff
0C   	7A9L	2021-05-26	pre-cutoff
0C   	7A9N	2021-05-26	pre-cutoff
0C   	7A9O	2021-05-26	pre-cutoff
0C   	7A9P	2021-05-26	pre-cutoff
0C   	7A9Q	2021-05-26	pre-cutoff
0C   	7A9R	2021-05-26	pre-cutoff
0C   	7A9S	2021-05-26	pre-cutoff
0C   	7A9T	2021-05-26	pre-cutoff
0DT   	5VY7	2017-08-09	pre-cutoff
125   	1I0G	2001-04-04	pre-cutoff
125   	1I0M	2001-04-04	pre-cutoff
125   	1Y86	2005-06-28	pre-cutoff
126   	1I0K	2001-04-04	pre-cutoff
126   	1I0N	2001-04-04	pre-cutoff
126   	1I0P	2001-04-04	pre-cutoff
126   	1I0Q	2001-04-04	pre-cutoff
126   	412D	1998-07-17	pre-cutoff
127   	1I0F	2001-04-04	pre-cutoff
1MA   	5ZEG	2018-03-21	pre-cutoff
1MA   	5ZEI	2018-03-21	pre-cutoff
1MA   	5ZEJ	2018-03-21	pre-cutoff
1MA   	5ZEM	2018-03-21	pre-cutoff
1SC   	364D	1998-01-02	pre-cutoff
2AT   	1Y9F	2005-06-28	pre-cutoff
2AU   	2NPY	2007-08-14	pre-cutoff
2BT   	1WV5	2005-06-28	pre-cutoff
2BT   	1WV6	2005-06-28	pre-cutoff
2DA   	1MQ2	2003-01-28	pre-cutoff
2DA   	1R0A	2004-08-03	pre-cutoff
2DA   	3GIJ	2009-05-19	pre-cutoff
2DA   	3OS1	2010-11-17	pre-cutoff
2DA   	6BEL	2018-10-31	pre-cutoff
2DA   	6BEM	2018-10-31	pre-cutoff
2DA   	6CTQ	2018-06-20	pre-cutoff
2DA   	6CTR	2018-06-20	pre-cutoff
2DA   	6CTT	2018-06-20	pre-cutoff
2DA   	6CTU	2018-06-20	pre-cutoff
2DA   	6CTV	2018-06-20	pre-cutoff
2DA   	6CTW	2018-06-20	pre-cutoff
2DA   	6CTX	2018-06-20	pre-cutoff
2DT   	1XSN	2005-01-18	pre-cutoff
2DT   	3GIL	2009-05-19	pre-cutoff
2DT   	3HWT	2009-08-25	pre-cutoff
2DT   	3RAX	2011-06-15	pre-cutoff
2DT   	6NKU	2020-01-08	pre-cutoff
2DT   	6NKV	2020-01-08	pre-cutoff
2DT   	6NKW	2020-01-08	pre-cutoff
2DT   	6NKX	2020-01-08	pre-cutoff
2DT   	6NKY	2020-01-08	pre-cutoff
2DT   	6NKZ	2020-01-08	pre-cutoff
2DT   	6NL0	2020-01-08	pre-cutoff
2GT   	1Y9S	2005-06-28	pre-cutoff
2MU   	1PWF	2004-07-13	pre-cutoff
2NT   	1Y7F	2005-06-28	pre-cutoff
2OT   	1YB9	2005-06-28	pre-cutoff
3DA   	2P7F	2007-05-22	pre-cutoff
3DA   	4G6R	2012-08-15	pre-cutoff
3ME   	1NZG	2003-08-26	pre-cutoff
4SC   	6MHT	1998-08-12	pre-cutoff
5BU   	1F1T	2000-09-04	pre-cutoff
5BU   	1JID	2001-10-19	pre-cutoff
5BU   	1JZV	2003-11-11	pre-cutoff
5BU   	1KFO	2001-12-07	pre-cutoff
5BU   	1RLG	2004-06-01	pre-cutoff
5BU   	1Y3O	2005-11-08	pre-cutoff
5BU   	1Y3S	2005-11-08	pre-cutoff
5BU   	1Y90	2004-12-21	pre-cutoff
5BU   	1YXP	2006-01-31	pre-cutoff
5BU   	1ZCI	2006-01-31	pre-cutoff
5BU   	2AO5	2006-03-28	pre-cutoff
5BU   	2AZ0	2005-10-11	pre-cutoff
5BU   	2AZ2	2005-10-11	pre-cutoff
5BU   	2FCX	2006-05-16	pre-cutoff
5BU   	2FCY	2006-05-16	pre-cutoff
5BU   	2FCZ	2006-05-16	pre-cutoff
5BU   	2FD0	2006-05-16	pre-cutoff
5BU   	2JLT	2009-08-18	pre-cutoff
5BU   	2PN3	2008-04-01	pre-cutoff
5BU   	2PN4	2008-04-01	pre-cutoff
5BU   	2R1S	2007-09-25	pre-cutoff
5BU   	2R20	2007-09-25	pre-cutoff
5BU   	2R21	2007-09-25	pre-cutoff
5BU   	3BNO	2008-06-24	pre-cutoff
5BU   	3BNQ	2008-06-24	pre-cutoff
5BU   	3BNR	2008-06-24	pre-cutoff
5BU   	3BNS	2008-06-24	pre-cutoff
5BU   	3BNT	2008-06-24	pre-cutoff
