	Molecular_weight	LogP	Number_of_HBA_1	Number_of_HBA_2	Number_of_HBD_1	Number_of_HBD_2	Number_of_acidic_groups	Number_of_aliphatic_OH_groups	Number_of_basic_groups	Fraction_of_rotatable_bonds	Number_of_heavy_bonds	Number_of_heterocycles	Number_of_hydrophobic_groups	MolarRefractivity	Number_of_atoms	Number_of_halogen_atoms	Number_of_B_atoms	Number_of_Br_atoms	Number_of_Cl_atoms	Number_of_I_atoms	Number_of_F_atoms	Number_of_N_atoms	Number_of_O_atoms	Number_of_P_atoms	Number_of_S_atoms	Number_of_bonds	Number_of_NO2_groups	Number_of_SO_groups	Number_of_OSO_groups	Number_of_SO2_groups	PolarSurfaceArea	Geometrical_diameter	Geometrical_radius	Geometrical_shape_coefficient	Kier_shape_1	Kier_shape_2	Zagreb_group_index_1	Zagreb_group_index_2
UMA	4.23434718570686	1.23720445144926	4.80062765394285	4.25692543669754	3.30598213705859	4.53671369716081	1.27814722142338	3.43026409301474	-0.159649052433652	2.27939648270224	3.70918425107656	0.66548456483047	NaN	3.63459116163978	4.36850239984015	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	0.0873369098798451	5.27376051921736	1.82911003511711	-0.429315941228763	4.1171522440925	-0.0500626174321759	NaN	NaN	-0.0708883442592492	3.83941179170567	-0.0439251263195339	0.0632348042575256	-0.0593099539710619	4.92130739414753	4.80179083813269	4.2415952465823	4.07800984911352
GP3	4.69107734654023	-0.108848629783399	3.77932643617522	5.35557566259813	4.91168739900184	3.74278880015766	1.27814722142338	3.43026409301474	-0.159649052433652	0.161046192585975	4.47505286843298	4.94819974817495	NaN	3.65333504155116	3.74109855166586	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	3.75548712483334	4.3914836021659	3.80692820317057	-0.429315941228763	3.82378768452474	-0.0500626174321759	NaN	NaN	-0.0708883442592492	5.39126615213228	0.230454446885845	-0.480436502660379	0.31439150080664	4.33405553661455	3.47155023488833	3.84218944355123	4.12814622459254
G3A	4.50333229348005	0.277630668392045	3.77932643617522	5.35557566259813	4.10883476803022	2.94886390315452	1.27814722142338	3.43026409301474	-0.159649052433652	0.230374020262507	4.3218791449617	4.94819974817495	NaN	3.540317307357	3.63653124363681	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	3.75548712483334	3.95034514364017	3.80692820317057	-0.429315941228763	3.72599949800216	-0.0500626174321759	NaN	NaN	-0.0708883442592492	4.98312007577617	0.346975833090391	0.140514408135663	0.310860793160622	4.12656144047839	3.36072523942733	3.72807349982807	3.97773709815547
GTA	4.67976500134136	0.376652252993616	4.11976017543109	4.98935892063126	4.10883476803022	2.94886390315452	1.27814722142338	3.43026409301474	-0.159649052433652	0.161046192585975	4.47505286843298	4.94819974817495	NaN	3.91134682427837	4.054800475753	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	3.75548712483334	3.95034514364017	3.80692820317057	-0.429315941228763	4.1171522440925	-0.0500626174321759	NaN	NaN	-0.0708883442592492	4.79897404933808	0.262654193985111	0.0134867113770835	0.251946191886981	4.33405553661455	3.47155023488833	4.12747930285914	4.27855535102962
B4P	5.25412476953112	0.56948375984931	4.28997704505903	6.45422588849872	4.10883476803022	2.94886390315452	2.40145281910605	3.43026409301474	-0.159649052433652	0.643153499991745	4.78140031537555	4.94819974817495	NaN	3.93645865809342	4.054800475753	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	3.75548712483334	4.83262206069163	5.78474637122404	-0.429315941228763	4.1171522440925	-0.0500626174321759	NaN	NaN	-0.0708883442592492	5.78428813752677	2.50762147143126	-0.152609393140565	2.50590730421319	4.74966395317187	3.85849924777615	4.08944065495142	4.29526747618929
GTG	4.86751005440154	-0.00982704518182756	4.11976017543109	4.98935892063126	4.91168739900184	3.74278880015766	1.27814722142338	3.43026409301474	-0.159649052433652	0.0941509202665142	4.62822659190427	4.94819974817495	NaN	4.02436455847253	4.15936778378205	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	3.75548712483334	4.3914836021659	3.80692820317057	-0.429315941228763	4.21494043061508	-0.0500626174321759	NaN	NaN	-0.0708883442592492	5.20712012569419	3.5552560228565	-0.130254880529499	3.53692344111168	4.54175986866893	3.58263580692711	4.2415952465823	4.4289644774667
N4S	1.21879713994945	4.19372398915694	3.09845895766346	-0.503892208871701	1.70027687511535	-0.22683568485804	0.154841623740718	-0.533081582022561	9.64034662772437	5.245086888865	1.10523095206473	-0.762087162951023	NaN	2.60978090621988	2.90456008743346	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	1.31005364819768	-0.461039441617115	-0.148708132936351	-0.429315941228763	2.65032944625372	-0.0500626174321759	NaN	NaN	-0.0708883442592492	0.367002258761105	5.64232099097502	-0.0434695275337712	5.57376476458551	1.89246521081483	3.64952336019322	2.66299135841191	2.18953970607022
TED	3.55409259431064	1.78480574460735	3.2686758272914	2.79205846883008	2.50312950608697	5.33063859416395	3.52475841678871	-0.533081582022561	9.64034662772437	4.50366428732431	3.24966308066271	-0.762087162951023	NaN	3.41489882082411	3.8456658596949	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	1.31005364819768	3.50920668511444	-0.148708132936351	-0.429315941228763	3.53042312495699	-0.0500626174321759	NaN	NaN	-0.0708883442592492	3.116929878877	1.97715569080088	-0.282205109433849	2.01112374412445	4.87003664631608	6.21214383111483	3.69003485192035	3.35938846724748
ZXW	3.08306955471742	1.17541799663128	2.75802521840758	3.52449195276381	2.50312950608697	1.36101410914824	1.27814722142338	0.788033642989873	-0.159649052433652	2.70306654072549	2.330620739835	0.66548456483047	NaN	2.36673940109077	2.27715623925917	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	1.92141201735659	2.62692976806299	3.80692820317057	1.88550920134254	2.1613885136408	-0.0500626174321759	NaN	NaN	-0.0708883442592492	3.91564538533653	-0.418033790525467	0.177107390405695	-0.447174642727319	3.01611761079981	2.85961514770879	2.07339231584224	1.98899420415412
12A	1.74580699239588	0.622918996688839	1.73672400063995	2.42584172686321	1.70027687511535	2.94886390315452	1.27814722142338	2.10914886800231	-0.159649052433652	1.63816612461299	1.56475212247858	0.66548456483047	NaN	1.4957324039901	1.54518508305582	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	1.31005364819768	1.3035143924858	-0.148708132936351	1.88550920134254	1.4768712079827	-0.0500626174321759	NaN	NaN	-0.0708883442592492	2.06008292803201	0.629480099568974	-0.156569529251089	0.647423843018255	1.96140329542808	1.95153219136138	1.48379327327258	1.40406982356549
RIA	2.00272867871528	-0.372257347223853	1.90694087026789	2.79205846883008	2.50312950608697	2.15493900615138	2.40145281910605	2.10914886800231	-0.159649052433652	0.454356232755919	1.87109956942115	2.09305629261196	NaN	1.44713899876288	1.75431969911392	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	0.698695279038761	2.62692976806299	1.82911003511711	-0.429315941228763	1.77023576755046	-0.0500626174321759	NaN	NaN	-0.0708883442592492	2.47190783732473	0.656362147373304	0.0355460195022005	0.635691618891183	1.84165663521956	1.48508349554313	1.78810245653434	1.9388578286751
G2M	1.69699023930041	0.450055063646272	1.73672400063995	1.69340824292949	1.70027687511535	1.36101410914824	2.40145281910605	-0.533081582022561	-0.159649052433652	0.415248227399927	1.25840467553601	0.66548456483047	NaN	1.35223207303939	1.33605046699773	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	0.698695279038761	1.74465285101153	3.80692820317057	-0.429315941228763	1.28129483493753	-0.0500626174321759	NaN	NaN	-0.0708883442592492	2.05170336412085	2.08697738084636	0.668147245508253	1.89955892399137	1.54059410614908	0.658604513647057	1.31261935768784	1.35393344808647
ATP	1.39092320314969	-0.946482072132779	0.545205913244376	2.42584172686321	1.70027687511535	1.36101410914824	2.40145281910605	0.788033642989873	-0.159649052433652	0.661747170249819	0.952057228593446	0.66548456483047	NaN	0.485478653984834	0.499512002765332	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	0.698695279038761	2.18579130953726	3.80692820317057	-0.429315941228763	0.49898934275685	-0.0500626174321759	NaN	NaN	-0.0708883442592492	2.41917789856666	1.75776903829864	0.165574677400321	1.69162292030873	1.12056317679577	0.59596248050061	0.43773045581027	0.535039315262382
G5J	1.74327228594684	-0.259798464521624	1.05585652212819	2.42584172686321	1.70027687511535	1.36101410914824	1.27814722142338	0.788033642989873	-0.159649052433652	0.923652297027829	1.25840467553601	0.66548456483047	NaN	0.867704846191021	0.917781234881529	-0.308713004111094	NaN	-0.151720421094133	-0.100504738062547	-0.112510221438409	-0.222356728907596	0.698695279038761	2.62692976806299	3.80692820317057	-0.429315941228763	0.890142088847191	-0.0500626174321759	NaN	NaN	-0.0708883442592492	2.54466697762657	1.84460721403048	0.0281127170397277	1.80814859102898	1.54059410614908	0.985168204310315	0.856155582795193	0.81914544297686
