cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
08Q,3.813469958305359E2,3.3821999999999997,29,10,5,5,1,1,0,2.8E-1,25,2,0,1.1013189999999999E2,44,0,0,0,0,0,0,3,7,1,1,45,0,0,0,0,1.9148999999999995E2,1.0868521792182985E1,9.672729354679397E-1,1.0236251314035886E1,2.03136E1,8.589506172839506,2.3E2,2.48E2
0A,3.4722399497032166E2,8.332999999999996E-1,23,12,5,4,2,2,0,1.6E-1,25,3,0,8.954550000000003E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0154E2,1.361352378250034E1,9.731048366449796E-1,1.298978123409225E1,1.78112E1,6.718836565096953,1.96E2,2.25E2
0AD,3.893049941062927E2,3.226499999999999,28,11,5,5,2,1,0,2.5E-1,28,3,0,1.1172870000000002E2,46,0,0,0,0,0,0,5,7,1,0,48,0,0,0,0,1.8729000000000002E2,1.1612316309107099E1,9.710130866574203E-1,1.095896993425795E1,2.0727040816326532E1,8.566329565734682,2.46E2,2.7E2
0C,3.231979949474335E2,2.5029999999999997E-1,22,11,5,4,2,2,0,1.8181818181818182E-1,22,2,0,8.271950000000002E1,35,0,0,0,0,0,0,3,8,1,0,36,0,0,0,0,1.9282999999999998E2,1.0198897614303487E1,9.858858421017418E-1,9.344907268940148,1.7355371900826448E1,6.629935720844812,1.8E2,2.04E2
0DA,3.3122499537467957E2,1.9039999999999995,22,11,4,3,2,1,0,1.6666666666666666E-1,24,3,0,8.804570000000001E1,36,0,0,0,0,0,0,5,6,1,0,38,0,0,0,0,1.8131E2,1.2335822455935821E1,9.732974807981021E-1,1.1674257048133393E1,1.684375E1,6.481481481481482,1.92E2,2.17E2
0DT,3.2220999467372894E2,9.213999999999999E-1,21,9,4,4,2,1,0,1.8181818181818182E-1,22,2,0,8.57583E1,36,0,0,0,0,0,0,2,8,1,0,37,0,0,0,0,1.6654999999999998E2,1.0172707915556844E1,9.761974910441277E-1,9.420747859817027,1.7355371900826448E1,6.629935720844812,1.89E2,2.08E2
0G,3.6322299456596375E2,2.1779999999999977E-1,23,12,6,5,2,2,0,1.5384615384615385E-1,26,3,0,9.227690000000004E1,38,0,0,0,0,0,0,5,8,1,0,40,0,0,0,0,2.2151E2,1.1838986070994439E1,9.795395244457165E-1,1.1086277047058068E1,1.8781065088757398E1,6.9575,2.02E2,2.34E2
0U,3.241819945573807E2,-8.34E-1,20,10,5,5,2,2,0,1.8181818181818182E-1,22,2,0,8.017810000000003E1,34,0,0,0,0,0,0,2,9,1,0,35,0,0,0,0,1.8677999999999997E2,1.1994257046798737E1,9.737889936105955E-1,1.1317100650651913E1,1.7355371900826448E1,6.629935720844812,1.77E2,2.04E2
0U1,4.011699937582016E2,5.627000000000001E-1,22,9,4,4,2,1,0,2.1739130434782608E-1,23,2,0,8.521850000000002E1,37,0,0,0,0,0,0,2,8,1,0,38,0,0,0,0,1.6654999999999998E2,1.2380757654158883E1,9.999692291421305E-1,1.1381138632416002E1,1.8340264650283554E1,7.26643598615917,1.93E2,2.12E2
125,3.8425299286842346E2,2.4407999999999994,25,10,4,4,2,1,0,2.692307692307692E-1,26,2,0,9.967929999999998E1,43,1,0,0,0,0,1,2,9,1,0,44,0,0,0,0,1.7578000000000003E2,1.1209749653138948E1,9.69026807812617E-1,1.0568049059904444E1,2.1301775147928993E1,8.79224376731302,2.26E2,2.44E2
126,4.843949910402298E2,5.5954000000000015,39,13,4,4,2,1,0,4.2424242424242425E-1,33,2,0,1.3854529999999988E2,61,0,0,0,0,0,0,2,12,1,0,62,0,0,0,0,2.0347000000000003E2,1.2576910219745441E1,9.746186226191959E-1,1.1904442751100094E1,2.8238751147842056E1,1.3777777777777779E1,3.17E2,3.2E2
127,3.972769932746887E2,2.4902999999999995,29,12,5,4,2,1,0,2.962962962962963E-1,27,2,0,1.0534609999999998E2,46,0,0,0,0,0,0,3,10,1,0,47,0,0,0,0,2.1103E2,1.0888182166146033E1,9.867351735805859E-1,1.0034553604323099E1,2.2290809327846365E1,9.467455621301776,2.38E2,2.54E2
12A,5.374239928722382E2,3.031299999999999,36,18,7,8,3,3,0,2.972972972972973E-1,37,3,0,1.3857180000000005E2,57,0,0,0,0,0,0,6,11,1,1,59,0,0,0,0,3.0230999999999995E2,1.2996075840128603E1,9.656309994119182E-1,1.2458635698360327E1,2.9554419284149013E1,1.224E1,3.01E2,3.33E2
16B,3.3919699454307556E2,-3.900000000000048E-2,23,12,6,6,2,2,0,2.1739130434782608E-1,23,2,0,8.354330000000003E1,36,0,0,0,0,0,0,3,9,1,0,37,0,0,0,0,1.9907E2,1.2683150376316744E1,9.671524796072796E-1,1.211390979576131E1,1.8340264650283554E1,7.26643598615917,1.84E2,2.1E2
18M,4.5722899401187897E2,1.7761999999999998,27,15,6,5,4,0,0,2.2580645161290322E-1,31,3,0,1.1108840000000004E2,46,0,0,0,0,0,0,5,11,2,0,48,0,0,0,0,2.7251E2,1.2860147438774481E1,9.544168981148355E-1,1.2474350112802746E1,2.3658688865764827E1,8.859375,2.43E2,2.7E2
18Q,4.4736199402809143E2,2.5916999999999994,26,12,5,5,2,1,0,2.5806451612903225E-1,31,3,0,1.192292E2,47,0,0,0,0,0,0,3,9,1,1,49,0,0,0,0,2.2389E2,1.0324486671093307E1,9.689682859955191E-1,9.655133733800088,2.3658688865764827E1,1.008E1,2.48E2,2.8E2
1CC,3.501999942064285E2,1.1941999999999995,21,12,4,4,3,1,0,2.0833333333333334E-1,24,2,0,8.517970000000001E1,36,0,0,0,0,0,0,3,9,1,0,37,0,0,0,0,2.1273000000000005E2,1.1615239862022262E1,9.764744925602831E-1,1.0895077598563272E1,1.932638888888889E1,7.486111111111111,1.9E2,2.14E2
1DP,3.462359946966171E2,1.5612999999999997,23,11,5,4,2,2,0,1.6E-1,25,3,0,9.280750000000003E1,38,0,0,0,0,0,0,4,7,1,0,40,0,0,0,0,1.8864999999999998E2,1.041760653557649E1,9.87719172835458E-1,9.54713406612381,1.78112E1,6.718836565096953,2.01E2,2.31E2
1MA,3.61250994682312E2,7.065999999999999E-1,24,12,5,5,2,2,0,1.5384615384615385E-1,26,3,0,9.533209999999998E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.9141000000000003E2,1.3483270243274092E1,9.714587669380457E-1,1.2879405593067215E1,1.8781065088757398E1,6.9575,2.12E2,2.4E2
1MG,3.772499942779541E2,7.422000000000001E-1,25,13,5,4,2,2,0,1.4814814814814814E-1,27,3,0,9.938650000000003E1,41,0,0,0,0,0,0,5,8,1,0,43,0,0,0,0,2.1064999999999998E2,1.329108107306845E1,9.668577545057554E-1,1.2746676810657293E1,1.9753086419753085E1,7.197278911564626,2.18E2,2.46E2
1SC,3.392659966945648E2,1.1877999999999997,24,11,5,4,1,2,0,1.8181818181818182E-1,22,2,0,8.948670000000001E1,35,0,0,0,0,0,0,3,7,1,1,36,0,0,0,0,2.0573999999999998E2,1.2057302351747472E1,9.664554384820859E-1,1.1475797508765288E1,1.7355371900826448E1,6.629935720844812,1.8E2,2.04E2
23G,4.251869946718216E2,1.6480999999999995,23,14,5,4,3,0,0,1.3333333333333333E-1,30,4,0,9.84396E1,40,0,0,0,0,0,0,5,10,2,0,43,0,0,0,0,2.4945E2,1.0345064528295534E1,9.67921104245347E-1,9.687921239573763,2.028E1,7.052951388888889,2.23E2,2.62E2
