,PCA_importance,Redundancy_penalty,Mutual_information,Composite_score
Number_of_bonds,0.13082935701471496,17.28068886758194,1.4825255561116966,0.3583549106448646
Zagreb_group_index_1,0.13125834003506248,17.2319831652077,1.4556702921421052,0.3578667874924447
Zagreb_group_index_2,0.12798695901264234,17.189413206725465,1.5619443843806402,0.356759626921339
Geometrical_shape_coefficient,0.13441041070860144,9.635188037388186,0.21960375574118274,0.35469679410645927
Kier_shape_1,0.1261443022541366,17.369334107882636,1.611901334457293,0.35126517582553307
Number_of_atoms,0.13242547065537028,17.282293982263273,1.3633694690661473,0.3508864418773602
Molecular_weight,0.126601312120941,16.840695204074393,1.4995558997630063,0.3488711478021078
Kier_shape_2,0.13194045595582532,16.534683486164802,1.2546855359387368,0.34852310268126013
Geometrical_diameter,0.13092745685494056,9.464271279333113,0.23415106672643748,0.34352737255855165
Number_of_heavy_bonds,0.12633492505524466,17.100076405676347,1.4811221204926168,0.3407250924333812
MolarRefractivity,0.13183546794547985,16.707653525271173,1.1647026369081708,0.3337856056608257
Number_of_P_atoms,0.13246360585964068,10.749508210613431,0.2553954095519908,0.3302754009220485
PolarSurfaceArea,0.13597191147710053,15.16570375618749,0.736730081510157,0.3272605255365635
Number_of_acidic_groups,0.12447550502679887,8.609230086518284,0.1746594881162542,0.3217288924141307
Number_of_HBA_2,0.134907084465506,15.493747119811228,0.7689925245424964,0.32050414262101595
LogP,0.12286913686847134,9.75472931060404,0.373302723006637,0.3185232982292827
Number_of_aliphatic_OH_groups,0.11744308275088675,6.687023244627013,0.11969134478194299,0.31688210592139726
Number_of_N_atoms,0.12674988769543155,10.893323920115224,0.3096292836351542,0.3081432932935295
Number_of_HBD_1,0.13673505381172318,14.114932124995681,0.3861499710017764,0.3060420050846311
Number_of_O_atoms,0.13004792100183235,12.627084802885099,0.35476520478637363,0.2979518072683103
Number_of_HBA_1,0.13012604448971235,16.803207703355554,0.9418165624795156,0.296557628219342
Number_of_HBD_2,0.12613856661831427,12.701822224704987,0.3486248050780407,0.2778655348393356
Fraction_of_rotatable_bonds,0.09515812810540857,9.062926492802251,0.9311676157891271,0.27258233943327487
Number_of_heterocycles,0.11821154091660656,10.753305808148104,0.25182551277764853,0.2641817567880089
Number_of_F_atoms,0.09098041643025648,3.5795254271848638,0.01557972051462464,0.23769824737220124
Number_of_basic_groups,0.09216885977011459,4.404792655529703,0.013137399479806966,0.22812319836931783
Number_of_Br_atoms,0.07800645833248387,2.5764480393335796,0.006684436011275441,0.1948098841332233
Number_of_halogen_atoms,0.08549107504005697,5.379173059401468,0.054934315555207114,0.18517623856820328
Number_of_SO2_groups,0.07175836873514663,1.7507522270664064,0.0,0.17997749740479135
Number_of_Cl_atoms,0.07184119200968521,1.8641983604974945,0.010453063987483358,0.1796292478151388
Number_of_S_atoms,0.07069206812744278,2.415560139842092,0.03377342408597239,0.16738657307364202
Number_of_I_atoms,0.06841681127934195,1.739639943912029,0.0075318408638780365,0.16573386825936606
Geometrical_radius,0.05709152543025881,1.3466721226886635,0.06705139429119056,0.12802312692793272
Number_of_NO2_groups,0.028078136115681475,0.5737633801276802,0.0,0.0
