CCD_ID,Name,SMILES,class,MW,Base Modified,Sugar Modified,Phosphate Modified
DDU,2'-5'DIDEOXYURIDINE,O=C1NC(=O)N(C=C1)C2OC(C(O)C2)C,modified,212.205,No,Yes,No
DCZ,2'-DEOXYCYTIDINE,O=C1N=C(N)C=CN1C2OC(C(O)C2)CO,unmodified,227.22,No,No,No
DUR,2'-DEOXYURIDINE,O=C1NC(=O)N(C=C1)C2OC(C(O)C2)CO,unmodified,228.204,No,No,No
U4P,5'-deoxyuridine,O=C1NC(=O)C=CN1C2C(C(C(O2)C)O)O,modified,228.204,No,Yes,No
THU,TETRAHYDRODEOXYURIDINE,O=C1N(CCC(=O)N1)C2OC(C(O)C2)CO,modified,230.22,Yes,No,No
CC5,BETA-D-ERYTHROFURANOSYL-ADENOSINE,n2c1c(ncnc1n(c2)C3OCC(O)C3O)N,modified,237.219,No,Yes,No
5AT,5'-AMINO-5'-DEOXYTHYMIDINE,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CN,modified,241.247,No,Yes,No
MCY,5-METHYL-2'-DEOXYCYTIDINE,O=C1N=C(N)C(=CN1C2OC(C(O)C2)CO)C,modified,241.247,Yes,No,No
5MD,2'-deoxy-1-methyl-pseudouridine,O=C1N(C=C(C(=O)N1)C2OC(CO)C(O)C2)C,modified,242.231,Yes,Yes,No
CTD,3-DEAZACYTIDINE,O=C1C=C(N)C=CN1C2OC(C(O)C2O)CO,modified,242.231,Yes,No,No
LLT,L-deoxythymidine,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CO,modified,242.231,No,Yes,No
THM,THYMIDINE,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CO,unmodified,242.231,No,No,No
URI,URIDINE,O=C1NC(=O)N(C=C1)C2OC(C(O)C2O)CO,unmodified,244.203,No,No,No
0DN,5'-deoxy-5'-fluorothymidine,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CF,modified,244.222,No,Yes,No
B86,2'-deoxy-5-fluorocytidine,FC=1C(=NC(=O)N(C=1)C2OC(C(O)C2)CO)N,modified,245.21,Yes,No,No
TYU,TETRAHYDROURIDINE,O=C1N(CCC(O)N1)C2OC(C(O)C2O)CO,modified,248.235,Yes,No,No
3AD,3'-DEOXYADENOSINE,n2c1c(ncnc1n(c2)C3OC(CC3O)CO)N,modified,251.246,No,Yes,No
5AD,5'-DEOXYADENOSINE,n2c1c(ncnc1n(c2)C3OC(C(O)C3O)C)N,modified,251.246,No,Yes,No
EDU,2'-deoxy-5-ethynyluridine,O=C1NC(=O)N(C=C1C#C)C2OC(C(O)C2)CO,modified,252.226,Yes,No,No
SCT,(SOUTH)-METHANOCARBA-THYMIDINE,O=C1C(=CN(C(=O)N1)C32C(C(CO)C(O)C2)C3)C,modified,252.27,No,Yes,No
5F1,"5'-FLUORO-2',5'-DIDEOXYADENOSINE",FCC3OC(n2cnc1c(ncnc12)N)CC3O,modified,253.237,No,Yes,No
3DT,3-methylthymidine,CN1C(=O)N(C=C(C)C1=O)[C@H]2C[C@H](O)[C@@H](CO)O2,modified,256.258,Yes,No,No
TCP,5'-METHYLTHYMIDINE,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)COC,modified,256.258,No,Yes,No
UZL,O2'-methylycytidine,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N2C=CC(=NC2=O)N,modified,257.246,No,Yes,No
UUA,uridine uronic acid,O[C@@H]1[C@H](O)[C@H](O[C@H]1N2C=CC(=O)NC2=O)C(O)=O,modified,258.186,No,Yes,No
38T,5-methyluridine,O=C1NC(=O)N(C=C1C)C2OC(C(O)C2O)CO,modified,258.23,Yes,No,No
WUV,5'-thiothymidine,C(S)C2C(CC(N1C(NC(C(C)=C1)=O)=O)O2)O,modified,258.299,No,Yes,No
U56,N-hydroxycytidine,ONC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O,modified,259.218,Yes,No,No
U7I,2'-deoxy-2'-fluoro-2'-methyluridine,O=C1NC(=O)N(C=C1)C1OC(CO)C(O)C1(C)F,modified,260.221,No,Yes,No
5HT,5-HYDROXY-THYMIDINE,O=C1N(CC(O)(C(=O)N1)C)C2OC(C(O)C2)CO,modified,260.246,Yes,No,No
5UD,5-FLUOROURIDINE,FC=1C(=O)NC(=O)N(C=1)C2OC(C(O)C2O)CO,modified,262.193,Yes,No,No
Y7U,"2',2'-Difluorodeoxyuridine",OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)C(F)(F)[C@@H]1O,modified,264.184,No,Yes,No
ADY,3'-OXO-ADENOSINE,O=C3C(OC(n2cnc1c(ncnc12)N)C3O)CO,modified,265.229,No,Yes,No
1DA,1-DEAZA-ADENOSINE,n2c1c(N)ccnc1n(c2)C3OC(C(O)C3O)CO,modified,266.257,Yes,No,Yes
AD3,3-DEAZA-ADENOSINE,n1c3c(n(c1)C2OC(C(O)C2O)CO)ccnc3N,modified,266.257,Yes,No,No
2AD,2'-AMINO-2'-DEOXYADENOSINE,n2c1c(ncnc1n(c2)C3OC(C(O)C3N)CO)N,modified,266.261,No,Yes,No
5N5,5'-amino-5'-deoxyadenosine,n2c1c(ncnc1n(c2)C3OC(C(O)C3O)CN)N,modified,266.261,No,Yes,No
ADN,ADENOSINE,n2c1c(ncnc1n(c2)C3OC(C(O)C3O)CO)N,unmodified,267.245,No,No,No
AZZ,3'-azido-3'-deoxythymidine,O=C1NC(=O)N(C=C1C)C2OC(C(\N=[N+]=[N-])C2)CO,modified,267.245,No,Yes,No
GNG,2'-DEOXY-GUANOSINE,O=C3N=C(N)Nc1c3ncn1C2OC(C(O)C2)CO,unmodified,267.245,No,No,No
UZ0,2'-azido-2'-deoxyuridine,N1(C=CC(NC1=O)=O)C2OC(C(C2N=[N+]=[N-])O)CO,modified,269.217,No,Yes,No
5FD,5'-FLUORO-5'-DEOXYADENOSINE,Nc1ncnc2c1ncn2C1OC(CF)C(O)C1O,modified,269.236,No,Yes,No
P6D,2'-azidocytidine,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2N=[N+]=[NH-],modified,269.237,No,Yes,No
8DA,8-OXODEOXYADENOSINE,O=C2NC1=C(N)NCN=C1N2C3OC(C(O)C3)CO,modified,269.261,Yes,No,No
CDY,2-CHLORODIDEOXYADENOSINE,Clc1nc(c2ncn(c2n1)C3OC(CC3)CO)N,modified,269.692,Yes,Yes,No
0NP,"2',3'-dideoxy-2'-fluoro-3'-triaza-1,2-dien-2-ium-1-yluridine",O=C1NC(=O)N(C=C1)C2OC(C(\N=[N+]=[N@H])C2F)CO,modified,272.216,No,Yes,No
6MD,N-methyladenosine,n2c1c(ncnc1n(c2)C3OC(C(O)C3O)CO)NC,modified,281.272,Yes,No,No
8HG,2'-DEOXY-8-OXOGUANOSINE,O=C1C=2NC(=O)N(C=2N=C(N)N1)C3OC(C(O)C3)CO,modified,283.244,Yes,No,No
GMP,GUANOSINE,O=C1c2ncn(c2N=C(N)N1)C3OC(C(O)C3O)CO,unmodified,283.244,No,No,No
ADT,3'-DEOXY-3'-ACETAMIDO-THYMIDINE,O=C1NC(=O)N(C=C1C)C2OC(C(NC(=O)C)C2)CO,modified,283.284,No,Yes,No
A4D,5'-thioadenosine,n2c1c(ncnc1n(c2)C3OC(C(O)C3O)CS)N,modified,283.313,No,Yes,No
