CCD,PDB,nuc_len,prot_len,split,json
0C,1R3O,16,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/1R3O/0C_1R3O.json
0C,2G32,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2G32/0C_2G32.json
0C,2GPM,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2GPM/0C_2GPM.json
0C,2GQ4,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2GQ4/0C_2GQ4.json
0C,2GQ5,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2GQ5/0C_2GQ5.json
0C,2GQ6,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2GQ6/0C_2GQ6.json
0C,2GQ7,33,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/2GQ7/0C_2GQ7.json
0C,6ZPF,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZPF/0C_6ZPF.json
0C,6ZQ9,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZQ9/0C_6ZQ9.json
0C,6ZR1,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZR1/0C_6ZR1.json
0C,6ZRL,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZRL/0C_6ZRL.json
0C,6ZRS,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZRS/0C_6ZRS.json
0C,6ZW3,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZW3/0C_6ZW3.json
0C,6ZWU,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZWU/0C_6ZWU.json
0C,6ZX5,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZX5/0C_6ZX5.json
0C,6ZX8,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/6ZX8/0C_6ZX8.json
0C,7A9L,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9L/0C_7A9L.json
0C,7A9N,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9N/0C_7A9N.json
0C,7A9O,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9O/0C_7A9O.json
0C,7A9P,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9P/0C_7A9P.json
0C,7A9Q,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9Q/0C_7A9Q.json
0C,7A9R,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9R/0C_7A9R.json
0C,7A9S,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9S/0C_7A9S.json
0C,7A9T,32,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0C/7A9T/0C_7A9T.json
0DT,5VY7,42,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/0DT/5VY7/0DT_5VY7.json
125,1I0G,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/125/1I0G/125_1I0G.json
125,1I0M,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/125/1I0M/125_1I0M.json
125,1Y86,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/125/1Y86/125_1Y86.json
126,1I0K,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/126/1I0K/126_1I0K.json
126,1I0N,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/126/1I0N/126_1I0N.json
126,1I0P,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/126/1I0P/126_1I0P.json
126,1I0Q,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/126/1I0Q/126_1I0Q.json
126,412D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/126/412D/126_412D.json
127,1I0F,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/127/1I0F/127_1I0F.json
1MA,5ZEG,69,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/5ZEG/1MA_5ZEG.json
