CCD,PDB,INF_WC,INF_all,TP_WC,FP_WC,FN_WC,TP_all,FP_all,FN_all,note,af3_path,exp_path
0C,1R3O,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/1R3O/af_output/0c_1r3o/0c_1r3o_model.cif,../MODNAP/0C/1R3O/0C_1R3O.pdb
0C,2G32,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2G32/af_output/0c_2g32/0c_2g32_model.cif,../MODNAP/0C/2G32/0C_2G32.pdb
0C,2GPM,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2GPM/af_output/0c_2gpm/0c_2gpm_model.cif,../MODNAP/0C/2GPM/0C_2GPM.pdb
0C,2GQ4,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2GQ4/af_output/0c_2gq4/0c_2gq4_model.cif,../MODNAP/0C/2GQ4/0C_2GQ4.pdb
0C,2GQ5,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2GQ5/af_output/0c_2gq5/0c_2gq5_model.cif,../MODNAP/0C/2GQ5/0C_2GQ5.pdb
0C,2GQ6,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2GQ6/af_output/0c_2gq6/0c_2gq6_model.cif,../MODNAP/0C/2GQ6/0C_2GQ6.pdb
0C,2GQ7,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/2GQ7/af_output/0c_2gq7/0c_2gq7_model.cif,../MODNAP/0C/2GQ7/0C_2GQ7.pdb
0C,6ZPF,0.9045,0.9014,18,0,4,26,0,6,,../MODNAP_AF3_models/0C/6ZPF/af_output/0c_6zpf/0c_6zpf_model.cif,../MODNAP/0C/6ZPF/0C_6ZPF.pdb
0C,6ZQ9,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZQ9/af_output/0c_6zq9/0c_6zq9_model.cif,../MODNAP/0C/6ZQ9/0C_6ZQ9.pdb
0C,6ZR1,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZR1/af_output/0c_6zr1/0c_6zr1_model.cif,../MODNAP/0C/6ZR1/0C_6ZR1.pdb
0C,6ZRL,0.9258,0.9014,18,0,3,26,0,6,,../MODNAP_AF3_models/0C/6ZRL/af_output/0c_6zrl/0c_6zrl_model.cif,../MODNAP/0C/6ZRL/0C_6ZRL.pdb
0C,6ZRS,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZRS/af_output/0c_6zrs/0c_6zrs_model.cif,../MODNAP/0C/6ZRS/0C_6ZRS.pdb
0C,6ZW3,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZW3/af_output/0c_6zw3/0c_6zw3_model.cif,../MODNAP/0C/6ZW3/0C_6ZW3.pdb
0C,6ZWU,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZWU/af_output/0c_6zwu/0c_6zwu_model.cif,../MODNAP/0C/6ZWU/0C_6ZWU.pdb
0C,6ZX5,0.8847,0.8876,18,0,5,26,0,7,,../MODNAP_AF3_models/0C/6ZX5/af_output/0c_6zx5/0c_6zx5_model.cif,../MODNAP/0C/6ZX5/0C_6ZX5.pdb
0C,6ZX8,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0C/6ZX8/af_output/0c_6zx8/0c_6zx8_model.cif,../MODNAP/0C/6ZX8/0C_6ZX8.pdb
